94.10 Landcode	94.11 Omschrijving	99.98 Datum ingang	99.99 Datum einde	Fictieve datum einde
7047	Roemeni\0xEB			
9082	Ruanda-Urundi		19620701	
5053	Rusland	19911231		
7029	Rusland (oud)		19171107	
6009	Rwanda	19620701		
7073	Saarland		19910601	*
5108	Saba	20101010		
9060	Sabah		19910601	*
8037	Saint Kitts en Nevis			
8042	Saint Kitts, Nevis en Anguilla	19670227	19801219	
8029	Saint Lucia			
5074	Saint Pierre en Miquelon			
8039	Saint Vincent		19791027	
5092	Saint Vincent en de Grenadines	19791027		
8022	Salomonseilanden	19780707		
7053	Samoa	19970704		
6028	San Marino			
6059	S\0xE3o Tom\0xE9 en Principe			
5018	Saoedi-Arabi\0xEB			
9057	Sarawak		19910601	*
5090	Selangor		19460401	
7021	Senegal			
5103	Servi\0xEB	20060603		
5102	Servi\0xEB en Montenegro	20030204	20060603	
8026	Seychellen			
5075	Seychellen en Amiranten		19910601	*
9074	Sharjah		19910601	*
7080	Siam		19910601	*
6051	Sierra Leone			
5091	Sikkim		19910601	*
5037	Singapore			
5109	Sint Eustatius	20101010		
5110	Sint Maarten	20101010		
6060	Sint-Helena			
5049	Sloveni\0xEB	19920115		
6067	Slowakije	19930101		
7034	Soedan			
6013	Somali\0xEB	19600701		
9049	Sovjet-Unie	19171107	19911231	
9092	Spaans Noord-Afrika		19910601	*
7091	Spaanse Sahara		19760226	
9044	Spaans-Guinee		19910601	*
6037	Spanje			
5093	Spitsbergen		19910601	*
7033	Sri Lanka	19720522		
9075	Straits Settlements		19460401	
5007	Suriname			
9095	Svalbardeilanden			
9036	Swaziland			
7009	Syri\0xEB			
6057	Tadzjikistan	19911231		
5052	Taiwan			
7059	Tanganyika		19640427	
7031	Tanzania	19640427		
8018	Tasmani\0xEB		19910601	*
7042	Thailand			
7055	Tibet			
5101	Timor Leste	20020520		
5023	Togo			
7098	Tokelau			
5076	Tonga			
9088	Transjordani\0xEB	19230515	19910601	*
5094	Trengganu		19460401	
6044	Trinidad en Tobago			
6061	Tristan Da Cunha			
9054	Trucial Oman		19711202	
6019	Tsjaad			
6066	Tsjechi\0xEB	19930101		
7048	Tsjecho-Slowakije		19930101	
5008	Tunesi\0xEB			
6043	Turkije			
6063	Turkmenistan	19911231		
